Organisation unit name,MFL- County Name,MFL- Facility Code,MFL- Facility Name,MFL- Facility Ownership,MFL- Facility Type,MFL-Coordinates,MFL-District Code,MFL-Facility Operating Status,MFL-Funding Source,MFL-Location,MFL-Region,MFL-Reporting Status
Kpanyan District,Sinoe,LBR-39--3930-06,Saywon Town Clinic,Public,Clinic,"[-8.837620,5.049280]",3930,Active,GOL,Rural,Southeastern A Region,Reporting
Kpanyan District,Sinoe,LBR-39--3930-08,Tubmanville Clinic,Public,Clinic,"[-8.887760,4.997350]",3930,Active,GOL,Rural,Southeastern A Region,Reporting
Lower Jloh  District,Grand Kru,LBR-18-1824-01,Sass Town Health Center,Public,Health Center,"[-8.426110,4.673950]",1824,Active,GOL,Rural,Southeastern B Region,Reporting
Lower Jloh  District,Grand Kru,LBR-18-1824-03,Sobo Community Clinic,Public,Clinic,"[-8.625590,4.783457]",1824,Active,GOL,Rural,Southeastern B Region,Reporting
Lower Jloh  District,Grand Kru,LBR-18-1824-02,Niful Clinic,Public,Clinic,"[-8.505590,4.726100]",1824,Active,GOL,Rural,Southeastern B Region,Reporting
Mambah-Kaba District,Margibi,LBR-24-2408-12,Boye Town Clinic,Private,Clinic,"[-10.554150,6.205710]",2408,Active,Private,Urband,South Central Region,Reporting
Mambah-Kaba District,Margibi,LBR-24-2408-13,Charlseville Clinic,Public,Clinic,"[-10.374720,6.206110]",2408,Active,GOL,Rural,South Central Region,Reporting
Mambah-Kaba District,Margibi,LBR-24-2408-05,Community Healthcare Initiatives Women and Children Health Center,Private,Health Center,"[-10.488721,6.186032]",2408,Active,Private,Urband,South Central Region,Reporting
Mambah-Kaba District,Margibi,LBR-24-2408-04,Absolute Medical Health Center,Private,Health Center,"[-10.591903,6.219274]",2408,Active,Private,Urband,South Central Region,Reporting
Mambah-Kaba District,Margibi,LBR-24-2408-01,14 Military Hospital,Public,Hospital,"[-10.565880,6.216600]",2408,Active,GOL,Urband,South Central Region,Reporting
Mambah-Kaba District,Margibi,LBR-24-2408-15,Excellent Clinic,Private,Clinic,"[-10.545588,6.205623]",2408,Active,Private,Rural,South Central Region,Reporting
Mambah-Kaba District,Margibi,LBR-24-2408-17,Jaw Community Clinic Annex 1,Private,Clinic,"[-10.361210,6.213650]",2408,Active,Private,Rural,South Central Region,Reporting
Mambah-Kaba District,Margibi,LBR-24-2408-16,J C medical Clinic,Private,Clinic,"[-10.618107,6.221214]",2408,Active,Private,Rural,South Central Region,Reporting
Mambah-Kaba District,Margibi,LBR-24-2408-18,Karwah Medical Clinic,Private,Clinic,"[-10.367187,6.248295]",2408,Active,Private,Urband,South Central Region,Reporting
Mambah-Kaba District,Margibi,LBR-24-2408-14,Daniel J. Kollie Clinic (DJK),Private,Clinic,"[-10.552383,6.204744]",2408,Active,Private,Urband,South Central Region,Reporting
Mambah-Kaba District,Margibi,LBR-24-2408-07,Maternal and Child Health Care Clinic,Private,Clinic,"[-10.541735,6.214684]",2408,Active,Private,Rural,South Central Region,Reporting
Mambah-Kaba District,Margibi,LBR-24-2408-08,New Beginning Fertility  Health Center,Private,Health Center,"[-10.503260,6.190290]",2408,Active,Private,Urband,South Central Region,Reporting
Mambah-Kaba District,Margibi,LBR-24-2408-03,Marshall Health Center,Public,Health Center,"[-10.383610,6.148610]",2408,Active,GOL,Rural,South Central Region,Reporting
Mambah-Kaba District,Margibi,LBR-24-2408-19,Kelvin Clinic,Private,Clinic,"[-10.409137,6.248582]",2408,Active,Private,Urband,South Central Region,Reporting
Mambah-Kaba District,Margibi,LBR-24-2408-10,Unification Town Health Center,Public,Health Center,"[-10.352990,6.245940]",2408,Active,GOL,Urband,South Central Region,Reporting
Mambah-Kaba District,Margibi,LBR-24-2408-21,R. S. CauldField School Base Clinic,Private,Clinic,"[-10.371013,6.244032]",2408,Active,Private,Urband,South Central Region,Reporting
Mambah-Kaba District,Margibi,LBR-24-2408-24,Summah Medical Clinic,Public,Clinic,"[-10.610618,6.224133]",2408,Active,GOL,Urband,South Central Region,Reporting
Mambah-Kaba District,Margibi,LBR-24-2408-28,Zeeworth Clinic,Public,Clinic,"[-10.555500,6.358410]",2408,Active,GOL,Rural,South Central Region,Reporting
Mambah-Kaba District,Margibi,LBR-24-2408-25,Triple T Medical Clinic,Private,Clinic,"[-10.597624,6.227645]",2408,Active,Private,Urband,South Central Region,Reporting
Mambah-Kaba District,Margibi,LBR-24-2408-23,Schefflin Town Clinic,Public,Clinic,"[-10.574900,6.214970]",2408,Active,GOL,Urband,South Central Region,Reporting
Mambah-Kaba District,Margibi,LBR-24-2408-22,Royal Home clinic,Private,Clinic,"[-10.582859,6.218178]",2408,Active,Private,Urband,South Central Region,Reporting
Mambah-Kaba District,Margibi,LBR-24-2408-06,Edward Beyan Kesselly Military Barracks Health Center,Public,Health Center,"[-10.569220,6.210890]",2408,Active,GOL,Urband,South Central Region,Reporting
Mambah-Kaba District,Margibi,LBR-24-2408-30,Ma. Juah Memorial Health Center,Private,Health Center,"[-10.437250,6.254340]",2408,Active,Private,Urband,South Central Region,Reporting
Mehnpea-Mah District,Nimba,LBR-33-3328-02,Beindin Clinic,Public,Clinic,"[-8.950875,7.074421]",3328,Active,GOL,Rural,North Central Region,Reporting
Mehnpea-Mah District,Nimba,LBR-33-3328-03,Bunadin Clinic,Public,Clinic,"[-9.074130,7.010650]",3328,Active,GOL,Rural,North Central Region,Reporting
Mehnpea-Mah District,Nimba,LBR-33-3328-06,Tunukpuyee Clinic,Public,Clinic,"[-9.005930,7.091285]",3328,Active,GOL,Rural,North Central Region,Reporting
Mehnpea-Mah District,Nimba,LBR-33-3328-04,Duo Town Clinic,Public,Clinic,"[-9.118180,6.928410]",3328,Active,GOL,Rural,North Central Region,Reporting
Mehnpea-Mah District,Nimba,LBR-33-3328-05,Kpein Clinic,Public,Clinic,"[-9.076250,7.108130]",3328,Active,GOL,Rural,North Central Region,Reporting
Mehnpea-Mah District,Nimba,LBR-33-3328-01,Zahn Bahnla Clinic,Public,Clinic,"[-9.048706,6.877495]",3328,Active,GOL,Rural,North Central Region,Reporting
Owensgrove District,Grand Bassa,LBR-09-0902-01,Bokay Town Clinic,Public,Clinic,"[-10.270590,6.212030]",0902,Active,GOL,Rural,South Central Region,Reporting
Owensgrove District,Grand Bassa,LBR-09-0902-02,Owensgrove Clinic,Public,Clinic,"[-10.324780,6.269990]",0902,Active,GOL,Rural,South Central Region,Reporting
Panta,Bong,LBR-06-0608-02,Boway Clinic,Public,Clinic,"[-9.142623,7.171311]",0608,Active,GOL,Rural,North Central Region,Reporting
Panta,Bong,LBR-06-0608-03,Foequelleh Clinic,Public,Clinic,"[-9.226890,7.127050]",0608,Active,GOL,Rural,North Central Region,Reporting
Panta,Bong,LBR-06-0608-04,Garmue Clinic,Public,Clinic,"[-9.166260,7.233500]",0608,Active,GOL,Rural,North Central Region,Reporting
Panta,Bong,LBR-06-0608-05,Jorwah Clinic,Public,Clinic,"[-9.233240,7.355660]",0608,Active,GOL,Rural,North Central Region,Reporting
Panta,Bong,LBR-06-0608-01,Bellemu Clinic,Public,Clinic,"[-9.205840,7.188330]",0608,Active,GOL,Rural,North Central Region,Reporting
Pleebo Sodoken District,Maryland,LBR-27-2712-02,Barraken Clinic,Public,Clinic,"[-7.664160,4.496500]",2712,Active,GOL,Rural,Southeastern B Region,Reporting
Pleebo Sodoken District,Maryland,LBR-27-2712-01,Pleebo Health Center,Public,Health Center,"[-7.671980,4.588260]",2712,Active,GOL,Urband,Southeastern B Region,Reporting
Pleebo Sodoken District,Maryland,LBR-27-2712-03,Cavalla Rubber Plantation Medical Center,Concession,Clinic,"[-7.662500,4.574210]",2712,Active,Private,Urband,Southeastern B Region,Reporting
Pleebo Sodoken District,Maryland,LBR-27-2712-04,Gbloken Clinic,Public,Clinic,"[-7.644350,4.528360]",2712,Active,GOL,Rural,Southeastern B Region,Reporting
Pleebo Sodoken District,Maryland,LBR-27-2712-05,Rock Town Kunokudi Clinic,Public,Clinic,"[-7.617061,4.645300]",2712,Active,GOL,Rural,Southeastern B Region,Reporting
Pleebo Sodoken District,Maryland,LBR-27-2712-06,Sodoken Clinic,Public,Clinic,"[-7.707486,4.524112]",2712,Active,GOL,Urband,Southeastern B Region,Reporting
Pleebo Sodoken District,Maryland,LBR-27-2712-07,St Francis Clinic,Faith Based,Clinic,"[-7.670730,4.583070]",2712,Active,Donor,Urband,Southeastern B Region,Reporting
Porkpa District,Grand Cape Mount,LBR-12-1206-03,Bendaja Clinic,Public,Clinic,"[-11.243690,7.158050]",1206,Active,GOL,Rural,Northwestern Region,Reporting
Porkpa District,Grand Cape Mount,LBR-12-1206-04,Kawelahum Clinic,Public,Clinic,"[-11.027710,7.403840]",1206,Active,GOL,Rural,Northwestern Region,Reporting
Porkpa District,Grand Cape Mount,LBR-12-1206-01,Damballa Health Center,Public,Health Center,"[-11.281870,7.137220]",1206,Active,GOL,Rural,Northwestern Region,Reporting
Porkpa District,Grand Cape Mount,LBR-12-1206-02,Bamballa Clinic,Public,Clinic,"[-11.172840,7.222170]",1206,Active,GOL,Rural,Northwestern Region,Reporting
Porkpa District,Grand Cape Mount,LBR-12-1206-05,Kongo Mano River Clinic,Public,Clinic,"[-11.137820,7.330800]",1206,Active,GOL,Rural,Northwestern Region,Reporting
Potupo District,RiverGee,LBR-42-4212-04,Juwelpo Clinic,Public,Clinic,"[-7.825240,5.408720]",4212,Active,GOL,Rural,Southeastern B Region,Reporting
Potupo District,RiverGee,LBR-42-4212-02,Connie Brown Christians Clinic,Private,Clinic,"[-7.892422,5.205589]",4212,Active,Private,Rural,Southeastern B Region,Reporting
Potupo District,RiverGee,LBR-42-4212-03,Jayproken Clinic,Public,Clinic,"[-7.846120,5.286580]",4212,Active,GOL,Rural,Southeastern B Region,Reporting
Potupo District,RiverGee,LBR-42-4212-01,Fish Town Hospital,Public,Hospital,"[-7.880560,5.197190]",4212,Active,GOL,Urband,Southeastern B Region,Reporting
Putu District,Grand Gedeh,LBR-15-1512-01,Karlorwleh Town Clinic,Public,Clinic,"[-8.148070,5.754320]",1512,Active,GOL,Rural,Southeastern A Region,Reporting
Putu District,Grand Gedeh,LBR-15-1512-03,Putu Pennokon Clinic,Public,Clinic,"[-8.153580,5.600730]",1512,Active,GOL,Rural,Southeastern A Region,Reporting
Putu District,Grand Gedeh,LBR-15-1512-02,Putu Jarwodee Clinic,Public,Clinic,"[-8.321080,5.614960]",1512,Active,GOL,Rural,Southeastern A Region,Reporting
Pynes Town District,Sinoe,LBR-39-3920-01,Chebioh's Town Clinic,Public,Clinic,"[-8.633080,5.528860]",3920,Active,GOL,Rural,Southeastern A Region,Reporting
Pynes Town District,Sinoe,LBR-39-3920-02,Payne Town Clinic,Public,Clinic,"[-8.401010,5.693640]",3920,Active,GOL,Rural,Southeastern A Region,Reporting
Pynes Town District,Sinoe,LBR-39-3920-03,Pelloken Clinic,Public,Clinic,"[-8.590730,5.678830]",3920,Active,GOL,Rural,Southeastern A Region,Reporting
Pynes Town District,Sinoe,LBR-39-3920-04,Voogbadee Clinic,Public,Clinic,"[-8.533330,5.783330]",3920,Active,GOL,Rural,Southeastern A Region,Reporting
Saclepea Mah District,Nimba,LBR-33-3332-01,Sacleapea Comprehensive Health Center,Public,Health Center,"[-8.845130,6.975590]",3332,Active,GOL,Rural,North Central Region,Reporting
Saclepea Mah District,Nimba,LBR-33-3332-02,Cocopa Clinic,Concession,Clinic,"[-8.865030,7.102750]",3332,Active,Donor,Rural,North Central Region,Reporting
Saclepea Mah District,Nimba,LBR-33-3332-06,Karnwee Clinic,Public,Clinic,"[-8.848560,7.030030]",3332,Active,GOL,Rural,North Central Region,Reporting
Saclepea Mah District,Nimba,LBR-33-3332-09,Saclepea Dorcus Mantor Clinic,Private,Clinic,"[-8.839135,6.966289]",3332,Active,Private,Rural,North Central Region,Reporting
Saclepea Mah District,Nimba,LBR-33-3332-03,Duayee Clinic,Public,Clinic,"[-8.952960,6.879570]",3332,Active,GOL,Rural,North Central Region,Reporting
Saclepea Mah District,Nimba,LBR-33-3332-05,Flumpa Mission Clinic,Faith Based,Clinic,"[-8.920400,7.111510]",3332,Active,Donor,Rural,North Central Region,Reporting
Saclepea Mah District,Nimba,LBR-33-3332-07,Kpallah Clinic,Public,Clinic,"[-8.918152,6.978640]",3332,Active,GOL,Rural,North Central Region,Reporting
Saclepea Mah District,Nimba,LBR-33-3332-08,Kpaytuo Clinic,Public,Clinic,"[-8.811110,6.806110]",3332,Active,GOL,Rural,North Central Region,Reporting
Saclepea Mah District,Nimba,LBR-33-3332-10,ULIC Saclepea Mission Clinic,Faith Based,Clinic,"[-8.841820,6.956150]",3332,Active,Donor,Rural,North Central Region,Reporting
Saclepea Mah District,Nimba,LBR-33-3332-04,Flumpa Clinic,Public,Clinic,"[-8.911580,7.108320]",3332,Active,GOL,Rural,North Central Region,Reporting
Salala,Bong,LBR-06-0610-01,Salala Clinic,Public,Clinic,"[-10.097980,6.749960]",0610,Active,GOL,Rural,North Central Region,Reporting
Salala,Bong,LBR-06-0610-02,Tokpaipolu Clinic,Public,Clinic,"[-9.872410,6.654260]",0610,Active,GOL,Rural,North Central Region,Reporting
Salala,Bong,LBR-06-0610-03,Totota Clinic,Public,Clinic,"[-9.941770,6.810620]",0610,Active,GOL,Rural,North Central Region,Reporting
Salayea District,Lofa,LBR-21-2106-01,Faith Medical Lab Clinic,Private,Clinic,"[-9.492870,7.616600]",2106,Active,Private,Rural,North Central Region,Reporting
Salayea District,Lofa,LBR-21-2106-02,Ganglota Clinic,Public,Clinic,"[-9.491940,7.420470]",2106,Active,GOL,Rural,North Central Region,Reporting
Salayea District,Lofa,LBR-21-2106-03,Gbanway Clinic,Public,Clinic,"[-9.426430,7.687920]",2106,Active,GOL,Rural,North Central Region,Reporting
Salayea District,Lofa,LBR-21-2106-04,Gbonyea Clinic,Public,Clinic,"[-9.549410,7.507220]",2106,Active,GOL,Rural,North Central Region,Reporting
Salayea District,Lofa,LBR-21-2106-07,Kpayaquelle Clinic,Public,Clinic,"[-9.603490,7.469210]",2106,Active,GOL,Rural,North Central Region,Reporting
Salayea District,Lofa,LBR-21-2106-05,Gorlu Clinic,Public,Clinic,"[-9.478760,7.519790]",2106,Active,GOL,Rural,North Central Region,Reporting
Salayea District,Lofa,LBR-21-2106-08,Salayea Clinic,Public,Clinic,"[-9.490200,7.616400]",2106,Active,GOL,Rural,North Central Region,Reporting
Salayea District,Lofa,LBR-21-2106-06,Kpaiyea Clinic,Public,Clinic,"[-9.385830,7.715870]",2106,Active,GOL,Rural,North Central Region,Reporting
Salayea District,Lofa,LBR-21-2106-09,Sucromu Clinic,Public,Clinic,"[-9.436140,7.721960]",2106,Active,GOL,Rural,North Central Region,Reporting
Salayea District,Lofa,LBR-21-2106-10,Yarpuah Clinic,Public,Clinic,"[-9.422590,7.655070]",2106,Active,GOL,Rural,North Central Region,Reporting
Sanniquelleh Mahn District,Nimba,LBR-33-3302-01,GW Harley Hospital,Public,Hospital,"[-8.714240,7.357530]",3302,Active,GOL,Urband,North Central Region,Reporting
Sanniquelleh Mahn District,Nimba,LBR-33-3302-02,Arcelor Mittal Hospital,Concession,Hospital,"[-8.537930,7.584780]",3302,Active,Donor,Rural,North Central Region,Reporting
Sanniquelleh Mahn District,Nimba,LBR-33-3302-03,Duo Tiayee Clinic,Public,Clinic,"[-8.658870,7.247030]",3302,Active,GOL,Rural,North Central Region,Reporting
Sanniquelleh Mahn District,Nimba,LBR-33-3302-04,Lugbehyee Clinic,Public,Clinic,"[-8.620150,7.606390]",3302,Active,GOL,Rural,North Central Region,Reporting
Sanniquelleh Mahn District,Nimba,LBR-33-3302-06,St Mary's Clinic,Faith Based,Clinic,"[-8.706860,7.363410]",3302,Active,Donor,Rural,North Central Region,Reporting
Sanniquelleh Mahn District,Nimba,LBR-33-3302-05,Pentecostal Clinic,Faith Based,Clinic,"[-8.564737,7.543850]",3302,Active,Donor,Rural,North Central Region,Reporting
Sanniquelleh Mahn District,Nimba,LBR-33-3302-07,Young Men's Christian Association Clinic,Faith Based,Clinic,"[-8.545300,7.574670]",3302,Active,Donor,Rural,North Central Region,Reporting
Sanniquelleh Mahn District,Nimba,LBR-33-3302-08,Grace Diagnostic & Treatment Center,Private,Clinic,,3302,Active,Private,Urband,North Central Region,Reporting
Sanoyea,Bong,LBR-06-0612-02,Gbonota Clinic,Public,Clinic,"[-9.779750,7.113370]",0612,Active,GOL,Rural,North Central Region,Reporting
Sanoyea,Bong,LBR-06-0612-01,Beletanda,Public,Clinic,"[-9.842329,7.139691]",0612,Active,GOL,Rural,North Central Region,Reporting
Sanoyea,Bong,LBR-06-0612-03,Kelebei Clinic,Public,Clinic,"[-10.096391,7.017663]",0612,Active,GOL,Rural,North Central Region,Reporting
Sanoyea,Bong,LBR-06-0612-04,Sanoyea Clinic,Public,Clinic,"[-9.981640,6.974440]",0612,Active,GOL,Rural,North Central Region,Reporting
Sarbo District,RiverGee,LBR-42-4216-02,Free Town Clinic,Public,Clinic,"[-7.522681,5.345618]",4216,Active,GOL,Rural,Southeastern B Region,Reporting
Sarbo District,RiverGee,LBR-42-4216-04,U-Bor Clinic,Public,Clinic,"[-7.508890,5.440740]",4216,Active,GOL,Rural,Southeastern B Region,Reporting
Sarbo District,RiverGee,LBR-42-4216-03,River Gbeh Clinic,Public,Clinic,"[-7.664440,5.211650]",4216,Active,GOL,Rural,Southeastern B Region,Reporting
Sarbo District,RiverGee,LBR-42-4216-01,Sarbo Health Center,Public,Health Center,"[-7.732420,5.126670]",4216,Active,GOL,Rural,Southeastern B Region,Reporting
Senjeh,Bomi,LBR-03-306-01,Liberia Government Hospital (Bomi),Public,Hospital,"[-10.830810,6.866330]",306,Active,GOL,Rural,Northwestern Region,Reporting
Senjeh,Bomi,LBR-03-306-05,Sackie Town Clinic,Public,Clinic,"[-10.929372,6.976000]",306,Active,GOL,Rural,Northwestern Region,Reporting
Senjeh,Bomi,LBR-03-306-03,Beafine Community Clinic,Public,Clinic,"[-10.899450,6.862380]",306,Active,Private,Rural,Northwestern Region,Reporting
Senjeh,Bomi,LBR-03-306-06,St Luke's Clinic,Faith Based,Clinic,"[-10.828006,6.876000]",0306,Active,Donor,Rural,Northwestern Region,Reporting
Senjeh,Bomi,LBR-03-306-02,Ahmiddiya Clinic,Faith Based,Clinic,"[-10.824002,6.868890]",306,Active,Donor,Rural,Northwestern Region,Reporting
Senjeh,Bomi,LBR-03-306-04,Yomo Clinic,Public,Clinic,"[-10.764985,6.947658]",306,Active,GOL,Rural,Northwestern Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-05,EJ Goodridge HC,Public,Health Center,"[-10.738540,6.358110]",3014,Active,GOL,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-06,THT Health Center,Private,Health Center,"[-10.737790,6.340450]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-07,New Georgia Community Health Center,Public,Health Center,"[-10.766670,6.366670]",3014,Active,GOL,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-10,AFRO-Medical Community Clinic,Private,Clinic,"[-10.703697,6.296725]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-37,Hope For Women Clinic,Private,Clinic,"[-10.701890,6.268050]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-39,Iron Factory Clinic,Private,Clinic,"[-10.762394,6.336657]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-40,Jacob K Morris Clinic,Private,Clinic,"[-10.715202,6.305566]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-54,Maggie Medical Clinic,Private,Clinic,"[-10.742302,6.341380]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-13,Bardnersville Medical  & Lab Community Clinic,Public,Clinic,"[-10.737253,6.364233]",3014,Active,GOL,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-14,Benko Clinic,Private,Clinic,,3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-41,Jaw Community Clinic,Private,Clinic,"[-10.741070,6.327950]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-46,Kenneh Medical Clinic,Private,Clinic,"[-10.724410,6.304080]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-47,Leonell Gulf Community Clinic,Private,Clinic,,3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-48,LESH Medical Clinic,Private,Clinic,"[-10.729790,6.357520]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-15,Bethesda Medical Center,Private,Health Center,,3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-16,Blessing Maternity Clinic,Private,Clinic,"[-10.706088,6.294522]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-18,CAP Merlin Youth Clinic,Private,Clinic,,3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-19,Chocolate City Clinic LCL,Private,Clinic,,3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-20,City View Comm. Clinic,Private,Clinic,"[-10.708520,6.326300]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-17,BRAC Diagnostic Laboratory Clinic,Private,Clinic,"[-10.738756,6.334977]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-21,Darquee Town Community Clinic,Public,Clinic,,3014,Active,GOL,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-42,Jobeta Clinic,Private,Clinic,"[-10.737253,6.343832]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-43,Julius Roger Maternity Clinic,Private,Clinic,"[-10.742790,6.362040]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-52,Ma -Watta Medical & Eye,Private,Clinic,"[-10.692340,6.281020]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-45,Kelvin Medical & Lab. Clinic,Private,Clinic,"[-10.754360,6.351890]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-01,J N Davies Hospital,Public,Hospital,"[-10.709080,6.267520]",3014,Active,GOL,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-22,Diagnostic Rescue International Clinic,Private,Clinic,,3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-24,Dr. Bob Community Clinic,Private,Clinic,"[-10.733883,6.361455]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-23,Divine Wonder Community Clinic,Private,Clinic,"[-10.746270,6.333292]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-02,JAHMALE Medical Solutions,Private,Health Center,"[-10.703825,6.265417]",3014,Active,Private,Urband,South Central Region,Not Reporting
Somalia Drive District,Montserrado,LBR-30-3014-25,Faith Medical & Laboratory Clinic,Private,Clinic,"[-10.693220,6.292690]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-26,Faith Medical Clinic Annex  II,Private,Clinic,"[-10.484523,6.402051]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-51,M. Watta Kamara Medical Clinic,Private,Clinic,,3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-50,LPRC Community Clinic,Private,Clinic,"[-10.734020,6.327680]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-53,Ma- Bea Community Clinic,Private,Clinic,"[-10.715257,6.289847]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-27,Family Medical Clinic,Private,Clinic,"[-10.735387,6.364343]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-03,Barnersville HC,Public,Health Center,"[-10.733330,6.366670]",3014,Active,GOL,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-30,FREDAI Medical Clinic,Private,Clinic,"[-10.692350,6.281020]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-28,Forkey Maternity Clinic,Private,Clinic,"[-10.692285,6.281720]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-32,Gardnersville Community Clinic,Public,Clinic,"[-10.730000,6.336670]",3014,Active,GOL,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-04,Chocolate City HC,Public,Health Center,"[-10.752508,6.329127]",3014,Active,GOL,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-33,Guru Nanak Clinic,Concession,Clinic,"[-10.761450,6.336640]",3014,Active,Donor,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-34,Haja Kadiatu Sherif Memorial Clinic,Private,Clinic,"[-10.701363,6.279865]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-35,Healthline Medical Clinic,Private,Clinic,"[-10.734567,6.375269]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-55,Marie Thomas clinic,Private,Clinic,"[-10.733647,6.315038]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-57,Triple M-S Medical & Surgical Clinic,Private,Clinic,"[-10.721540,6.372210]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-63,Mother Ida Community Clinic,Private,Clinic,"[-10.736070,6.336840]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-64,National Police Training Academy Clinic,Public,Clinic,"[-10.701905,6.283207]",3014,Active,GOL,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-66,New Sight Eye Center,Private,Health Center,"[-10.698220,6.295110]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-68,P K Nyansaiye Medical Clinic,Private,Clinic,"[-10.697670,6.283100]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-73,Peace Home Medical Clinic,Private,Clinic,"[-10.704520,6.299610]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-71,Patience Frist Medical Center,Private,Health Center,,3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-76,PESAM Medical Clinic,Private,Clinic,"[-10.726260,6.367430]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-78,Rambow Clinic,Private,Clinic,"[-10.754540,6.336430]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-83,Sarah Doe Memorial,Private,Clinic,,3014,Active,Private,Urband,South Central Region,Reporting
